fixture_id,home_id,home_name,away_id,away_name,score_home,score_away,timestamp,venue_id,venue,venue_city,league,league_id,league_country,winner_home,winner_away
974523,2780,Buriram United,10086,Khon Kaen United,4.0,1.0,1679139000,1559.0,Chang Arena,Buriram,Thai League 1,296,Thailand,True,False
974524,2773,Nakhon Ratchasima FC,2771,Chiangrai United,3.0,1.0,1679140800,1758.0,His Majesty the King's 80th Birthday Anniversary 5th December 2007 Stadium,Nakhon Ratchasima,Thai League 1,296,Thailand,True,False
974526,2772,Chonburi FC,2776,Ratchaburi,1.0,2.0,1679221800,19097.0,Chonburi UTA Stadium,Chonburi,Thai League 1,296,Thailand,False,True
974525,2775,Police Tero,2801,Lampang FC,1.0,1.0,1679223600,1554.0,Boonyachinda Stadium,Bangkok,Thai League 1,296,Thailand,,
974522,2789,Port FC,2783,Sukhothai FC,2.0,0.0,1679225400,1561.0,PAT Stadium,Bangkok,Thai League 1,296,Thailand,True,False
974529,2769,Bangkok Glass,2770,Bangkok United,0.0,1.0,1679227200,12708.0,BG Stadium,"Thanyaburi, Pathum Thani",Thai League 1,296,Thailand,False,True
974532,10086,Khon Kaen United,2791,Prachuap,0.0,3.0,1680433200,1712.0,Khon Kaen Stadium,Khon Kaen,Thai League 1,296,Thailand,False,True
974537,2776,Ratchaburi,2773,Nakhon Ratchasima FC,1.0,1.0,1680435000,19788.0,Dragon Solar Park,Ratchaburi,Thai League 1,296,Thailand,,
974530,2796,Nong Bua Pitchaya,2775,Police Tero,1.0,2.0,1680436800,11517.0,Pitchaya Stadium,Nong Bua Lam Phu,Thai League 1,296,Thailand,False,True
974534,2801,Lampang FC,2769,Bangkok Glass,0.0,1.0,1680521400,1859.0,Lampang Provincial Stadium,Lampang,Thai League 1,296,Thailand,False,True
974535,2771,Chiangrai United,2789,Port FC,2.0,3.0,1680606000,12710.0,LEO Chiangrai Stadium,Chiang Rai,Thai League 1,296,Thailand,False,True
974536,2783,Sukhothai FC,2772,Chonburi FC,1.0,0.0,1680606000,1834.0,Thung Talay Luang Stadium,Sukhothai,Thai League 1,296,Thailand,True,False
974531,2786,Muangthong United,6572,Lamphun Warrior,3.0,1.0,1680607800,12709.0,Thunder Dome Stadium,Nonthaburi,Thai League 1,296,Thailand,True,False
974533,2770,Bangkok United,2780,Buriram United,4.0,3.0,1680609600,1553.0,Thammasat Stadium,Pathum Thani,Thai League 1,296,Thailand,True,False
974538,2775,Police Tero,2783,Sukhothai FC,2.0,2.0,1680951600,1554.0,Boonyachinda Stadium,Bangkok,Thai League 1,296,Thailand,,
